generic_name,unit,auto_calculate,route,reference_regimen,warnings,source_name,source_edition,source_ref
promethazine,mg,no,IV inf,Initial strength: 25mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): 0.5-0.1mg/ ml. Standard preparation: 25mg/ 250ml D5W 25mg/ 250ml NS. Maximum concentration: 0.25mg/ ml. Preparation at maximum concentration: 25mg/ 100ml D5W 25mg/ 100ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): Use fresh. Rate of administration: IVPB: 30 min.,Special conditions: Can be given IM | Monitoring: LFT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.42
propofol,mg,no,IVP IV inf,Initial strength: 10mg/ ml 20mg/ ml. Diluents: D5W. Final concentration (IVP/IVPB): 10mg/ ml / Not less than 2mg/ ml Standard 10mg/ ml. Standard preparation: 500mg/ 50ml D5W. Maximum concentration: 10mg/ ml. Preparation at maximum concentration: 500mg/ 50ml D5W. Vial stability (RT/Ref): 12 hrs. Premixed stability (RT/Ref): 12 hrs. Rate of administration: IVP: 1-2 min / IVPB: 0.3mg/ kg/ hr.,Special conditions: Do not Refrigerate Shake well before use Replace IV tubing q6-12h | Monitoring: BP Respirato ry function,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.42
propranolol,mg,no,IVP IV inf,Initial strength: 1 mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted / 0.02mg/ ml. Standard preparation: 1mg/ 50ml D5W 1mg/ 50ml NS. Maximum concentration: 0.06mg/ ml. Preparation at maximum concentration: 15mg/ 250ml D5W 15mg/ 50ml NS. Vial stability (RT/Ref): Use fresh. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 1 mg/ min / IVPB: 30 min.,Special conditions: IM not recommended | Monitoring: BP ECG,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.42
retaplase,mg,no,IVP IV inf,Initial strength: 18.1mg (10.4U). Diluents: Include SWFI. Reconstitution volume: 10ml. Final concentration (IVP/IVPB): For MI 10U/ 10ml IVP / For Catheter- directed thrombolytic therapy 10U/ 500ml IVPB. Standard preparation: For MI: 10U/ 10ml SWFI For Catheter- directed thrombolytic therapy: 5-10U/ 100- 500ml NS. Maximum concentration: 1U/ ml. Preparation at maximum concentration: 10U/ 10ml SWFI. Vial stability (RT/Ref): NA RT / NA Ref. Premixed stability (RT/Ref): For MI: 4 hrs For Cathete r- directe d thromb olytic therapy : RT 24 hrs / For MI: 4 hrs Ref. Rate of administration: IVP: Fro MI 2 min IVP / IVPB: For Catheter- directed thrombo- lytic therapy 0.25-1 U/hr IVPB.,Special conditions: No Special Conditions | Monitoring: aPTT PT ECG CBC,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.42
streptokinase,mg,no,IV inf,Initial strength: 50000U/ ml 150000U/ ml 300000U/ ml. Diluents: NS. Reconstitution volume: 5 ml NS. Final concentration (IVP/IVPB): 5000U/ ml 7500U/ ml 15000U/ ml. Standard preparation: 250000U/ 50ml NS 750000U/ 100ml NS 1.5Million U/ 100ml NS. Maximum concentration: 30000U/ ml. Preparation at maximum concentration: 1.5million U/ 50ml NS. Premixed stability (RT/Ref): 24 hrs / 24 hrs. Rate of administration: IVPB: 30-60 min.,Special conditions: Do not freeze | Monitoring: BP LFT KFT aPTT PT,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.43
succinylcholine suxamehtonium,mg,no,IVP IV inf,Initial strength: 20mg/ ml 50mg/ ml 100mg/ ml. Diluents: SWFI D5W NS. Reconstitution volume: 5-10ml. Final concentration (IVP/IVPB): Undiluted / 1-2mg/ ml. Standard preparation: 500mg/ 250ml D5W 500mg/ 250ml NS. Maximum concentration: 2mg/ ml. Preparation at maximum concentration: 500mg/ 250ml D5W 500mg/ 250ml NS. Vial stability (RT/Ref): 24 hrs for powder. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 10-30 sec / IVPB: 0.5-10 mg/min.,Special conditions: IM deep injection preferably into high deltoid muscle For IM total dose not exceed 150mg Test dose 0.1mg/ kg to determine sensitivity and recovery time | Monitoring: ECG Potassium level Respirato ry function,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.43
thiopental,mg,no,IVP IV inf,Initial strength: 50mg/ ml. Diluents: SWFI D5W NS. Reconstitution volume: 10ml. Final concentration (IVP/IVPB): 25mg/ ml / 2 mg/ ml. Standard preparation: 500mg/ 250ml D5W 500mg/ 250ml NS. Maximum concentration: 50mg/ ml. Preparation at maximum concentration: 5g/ 100ml D5W 5g/ 100ml NS. Vial stability (RT/Ref): Discard after use. Premixed stability (RT/Ref): 3 days / 7 days. Rate of administration: IVP: 20-30 sec / IVPB: Infusion.,Special conditions: Avoid Extravasatio n | Monitoring: ECG RR Neurologi cal status,"Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.43
vecuronium bromide,mg,no,IV P IV inf,Initial strength: 1mg/ml. Diluents: D5W NS. Reconstitution volume: 10ml of bact.WFI Or SWFI. Final concentration (IVP/IVPB): 1mg/ml / 0.1- 0.2mg/ml. Standard preparation: 1mg/10ml D5W or NS. Maximum concentration: 1mg/ml. Preparation at maximum concentration: 1mg/5ml D5W or NS. Vial stability (RT/Ref): Bact.WF I 5d / Bact. WFI 5d SWF I 24hr. Premixed stability (RT/Ref): 24hr. Rate of administration: IVP: 30sec / IVPB: 0.7- 1.7mcg/kg/ min.,"Special conditions: Cannot be given IM Or intermittent inf. | Monitoring: Bl. Gas, BP,RR, HR | Y-site compatibility: Compatibility: Alprostadil, Aminophylline, Cefazolin sodium, …etc","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.43
verapamil,mg,no,IVP IV inf,Initial strength: 2.5mg/ ml. Diluents: D5W NS. Final concentration (IVP/IVPB): Undiluted / 1mg/ ml. Standard preparation: 160mg/ 100ml D5W 160mg/ 100ml NS. Maximum concentration: 1mg/ ml. Preparation at maximum concentration: 160mg/ 100ml D5W 160mg/ 100ml NS. Premixed stability (RT/Ref): 24 hrs. Rate of administration: IVP: 2 min / IVPB: 5mg/ hr.,"Special conditions: Compatible with KCl | Monitoring: Serum K, Na, Ca, Mg | Y-site compatibility: Compatibility: Argatroban, Bivalirudin, Ciprofloxacin, Clarithromycin","Adult Parenteral Dilution Manual, Jazan Specialist Hospital",JSH 2026,p.43
bretylium,mg,no,IV infusion,"Standard concentration: 1000 mg / 250 ml D5W. Maintenance dose: (0.014--0.028)mg/kg/min. Infusion rate per weight: see chart, p.2-3.",,"Adult IV Drip Chart (MOH standard concentration), JSH",JSH 2026,p.2
dexmedetomidine,mg,no,IV infusion,"Standard concentration: 200mcg/50ml NS =4mcg/ml. Infusion rate per weight: see chart, p.12.",,"Adult IV Drip Chart (MOH standard concentration), JSH",JSH 2026,p.12
nitroprusside,mg,no,IV infusion,"Standard concentration: 50 mg / 250 ml =200MCG/ML; 50 mg / 250 ml=200MCG/ML. Infusion rate per weight: see chart, p.26-27.",,"Adult IV Drip Chart (MOH standard concentration), JSH",JSH 2026,p.26
